Participant,Scenario,Segment,Channel,Delta,Theta,Alpha,Beta,Gamma,CQ_AF3_mean,CQ_AF3_std,CQ_T7_mean,CQ_T7_std,CQ_Pz_mean,CQ_Pz_std,CQ_T8_mean,CQ_T8_std,CQ_AF4_mean,CQ_AF4_std,CQ_OVERALL_mean,CQ_OVERALL_std,EQ_AF3_mean,EQ_AF3_std,EQ_T7_mean,EQ_T7_std,EQ_Pz_mean,EQ_Pz_std,EQ_T8_mean,EQ_T8_std,EQ_AF4_mean,EQ_AF4_std,EQ_OVERALL_mean,EQ_OVERALL_std,BATTERY_mean,BATTERY_std,BATTERY_PERCENT_mean,BATTERY_PERCENT_std
001_(14),Participants Listening to Relaxing Music,Segment_3,AF3,238.88373775980554,16.2037772232502,11.643378529172805,4.814131845077189,2.834850624024398,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,4.000000000000001e-06,8.470329472543003e-22,6.182965299684543e-07,1.1765504303788053e-06,2.0000000000000003e-06,4.235164736271502e-22,3.869610935856994e-06,3.3673098475625616e-07,4.000000000000001e-06,8.470329472543003e-22,5.403259726603576e-05,1.040029470002024e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_3,T7,7570.8788863849695,386.85704744664025,51.30908693746974,8.829619439721439,5.636429768954587,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,4.000000000000001e-06,8.470329472543003e-22,6.182965299684543e-07,1.1765504303788053e-06,2.0000000000000003e-06,4.235164736271502e-22,3.869610935856994e-06,3.3673098475625616e-07,4.000000000000001e-06,8.470329472543003e-22,5.403259726603576e-05,1.040029470002024e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_3,Pz,13.864303417553154,2.343778420196032,2.9076202193183764,1.811434522741574,1.3561274023035983,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,4.000000000000001e-06,8.470329472543003e-22,6.182965299684543e-07,1.1765504303788053e-06,2.0000000000000003e-06,4.235164736271502e-22,3.869610935856994e-06,3.3673098475625616e-07,4.000000000000001e-06,8.470329472543003e-22,5.403259726603576e-05,1.040029470002024e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_3,T8,110.18868131232696,11.016596397582923,8.995039936799698,6.856902313455172,5.340585237226806,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,4.000000000000001e-06,8.470329472543003e-22,6.182965299684543e-07,1.1765504303788053e-06,2.0000000000000003e-06,4.235164736271502e-22,3.869610935856994e-06,3.3673098475625616e-07,4.000000000000001e-06,8.470329472543003e-22,5.403259726603576e-05,1.040029470002024e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_3,AF4,86.33327089625064,11.500924698998698,8.988712294464959,4.114665673164052,2.5164281466979364,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,4.000000000000001e-06,8.470329472543003e-22,6.182965299684543e-07,1.1765504303788053e-06,2.0000000000000003e-06,4.235164736271502e-22,3.869610935856994e-06,3.3673098475625616e-07,4.000000000000001e-06,8.470329472543003e-22,5.403259726603576e-05,1.040029470002024e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(19),Participants Listening to Relaxing Music,Segment_1,AF3,32637.465901428564,3076.573204755291,893.1030817981572,186.05753675563656,41.00056035503604,4.000000000000001e-06,8.470329472543003e-22,3.594950026301947e-06,1.057552562543386e-06,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,9.662440820620728e-05,8.792057635393909e-06,2.08890057864282e-06,1.7264193669921568e-06,1.213571804313519e-06,1.4021269346224118e-06,1.651236191478169e-06,1.601184726254518e-06,1.5839032088374536e-06,1.4519966550461979e-06,1.7185691741188846e-06,1.5505568238691337e-06,3.7005260389268804e-05,3.5779322075216524e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(19),Participants Listening to Relaxing Music,Segment_1,T7,54382.06763266272,5504.289576070694,1626.0340384231029,363.6495094888538,72.87831517350067,4.000000000000001e-06,8.470329472543003e-22,3.594950026301947e-06,1.057552562543386e-06,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,9.662440820620728e-05,8.792057635393909e-06,2.08890057864282e-06,1.7264193669921568e-06,1.213571804313519e-06,1.4021269346224118e-06,1.651236191478169e-06,1.601184726254518e-06,1.5839032088374536e-06,1.4519966550461979e-06,1.7185691741188846e-06,1.5505568238691337e-06,3.7005260389268804e-05,3.5779322075216524e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(19),Participants Listening to Relaxing Music,Segment_1,Pz,29159.587850420194,2806.614689672532,810.1923712978056,168.97395450759106,39.626543652868506,4.000000000000001e-06,8.470329472543003e-22,3.594950026301947e-06,1.057552562543386e-06,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,9.662440820620728e-05,8.792057635393909e-06,2.08890057864282e-06,1.7264193669921568e-06,1.213571804313519e-06,1.4021269346224118e-06,1.651236191478169e-06,1.601184726254518e-06,1.5839032088374536e-06,1.4519966550461979e-06,1.7185691741188846e-06,1.5505568238691337e-06,3.7005260389268804e-05,3.5779322075216524e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(19),Participants Listening to Relaxing Music,Segment_1,T8,21906.50965419978,2441.3056179921673,729.9145172233389,161.01323345958338,40.492920884286804,4.000000000000001e-06,8.470329472543003e-22,3.594950026301947e-06,1.057552562543386e-06,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,9.662440820620728e-05,8.792057635393909e-06,2.08890057864282e-06,1.7264193669921568e-06,1.213571804313519e-06,1.4021269346224118e-06,1.651236191478169e-06,1.601184726254518e-06,1.5839032088374536e-06,1.4519966550461979e-06,1.7185691741188846e-06,1.5505568238691337e-06,3.7005260389268804e-05,3.5779322075216524e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(19),Participants Listening to Relaxing Music,Segment_1,AF4,32527.338070046655,3096.5215910299576,884.4810283037289,184.49162442143125,42.26013181357775,4.000000000000001e-06,8.470329472543003e-22,3.594950026301947e-06,1.057552562543386e-06,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,9.662440820620728e-05,8.792057635393909e-06,2.08890057864282e-06,1.7264193669921568e-06,1.213571804313519e-06,1.4021269346224118e-06,1.651236191478169e-06,1.601184726254518e-06,1.5839032088374536e-06,1.4519966550461979e-06,1.7185691741188846e-06,1.5505568238691337e-06,3.7005260389268804e-05,3.5779322075216524e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999992e-05,6.776263578034403e-21
