Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,BATTERY_mean,BATTERY_std
1_(14),Complex Mathematical Problem solving (CMPS),Segment_2,Pz,-11.739144790639532,-4.038116232279759,3.282019518668094,-0.07391650646011554,0.4505801048850288,0.8910757689449226,0.11704326045745306,-0.2927263771130371,-0.6867558388806516,1.7351946145945396,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_2,T8,-11.739144790639532,-4.038116232279759,3.282019518668094,-0.07391650646011554,0.4505801048850288,0.8910757689449226,0.11704326045745306,-0.2927263771130371,-0.6867558388806516,1.7351946145945396,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_2,AF4,-11.739144790639532,-4.038116232279759,3.282019518668094,-0.07391650646011554,0.4505801048850288,0.8910757689449226,0.11704326045745306,-0.2927263771130371,-0.6867558388806516,1.7351946145945396,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_3,AF3,-6.170437404336192,0.8929551659785196,-1.8687341264814408,-0.6535391479692745,-0.2790648894446735,-0.31009621828884004,-0.4891144804145438,-2.6177742078140764,-0.5369832014700479,0.21147330234627626,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_3,T7,-6.9153514030409875,1.1667735556602343,-2.3380475966577716,-0.2005114727794656,0.6255591538893956,0.38340695044138423,-0.6802552804073235,-1.8320878795851918,-0.3489715119320831,1.6308444301916998,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_3,Pz,-5.278142324039702,0.3774249594680124,-1.3877794641338557,-1.224101881693158,-1.0014349552326363,-1.3071569910540786,-0.6527908783680788,-2.6569909889439423,-0.25594436959000344,0.9004024167325019,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_3,T8,-5.401887409388093,0.45318084429533,-1.4549232908982666,-1.1420650584125012,-0.9091093974239371,-1.1612989903630184,-0.6150960265341247,-2.676154961751169,-0.31793625420357696,0.7348178335064914,1.0000000000000002e-06,2.117582368135752e-22
1_(14),Complex Mathematical Problem solving (CMPS),Segment_3,AF4,-5.559769499338605,0.5486524990598183,-1.537057528113941,-1.0278558090063976,-0.7901430176688299,-0.9710164592188045,-0.5936978790273812,-2.6778590119233674,-0.3788684808203939,0.5797397834980775,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_1,AF3,-2.047000536126352,-5.3444358983756945,1.6900093133291523,0.11776620208164977,-2.854156412999349,2.9774058739198033,-3.768981112659777,-3.2781936737911446,2.4928174803071554,-0.10283776444956558,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_1,T7,-4.512931238104439,-4.105512018241893,0.28306279812950375,1.7656277617965475,-0.4792217563294563,5.687577523992917,-3.7624743964558234,-2.2352394134865072,2.201051480444196,0.42796310161320517,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_1,Pz,-1.9656501875424683,-5.389768107859961,1.7336607485987108,0.06677190399985321,-2.9233951952531294,2.8889380771801343,-3.7784647962140387,-3.2910863953027034,2.509242826549806,-0.06713360736213521,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_1,T8,-2.220373114345126,-5.29444094930793,1.575673908980729,0.21903363251274596,-2.615225450532538,3.127026488071877,-3.8391238671155414,-3.0316331127245135,2.5791684242462094,0.40305497095824727,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_1,AF4,-2.2890068304229216,-5.229543794881292,1.5500647815437385,0.26858604046256024,-2.609745135733157,3.2255224130419538,-3.779833178989575,-3.1456185071328346,2.490256953421123,0.036439488212771584,1.0000000000000002e-06,2.117582368135752e-22
1_(18),Complex Mathematical Problem solving (CMPS),Segment_2,AF3,-3.54686849504957,-5.552354152866316,2.8054945122255943,-0.14489945021618703,-2.8987998949038567,2.8345252122318665,-3.027096287538885,-3.1083897264638254,2.385541089434411,-0.23083001265729672,1.0000000000000002e-06,2.117582368135752e-22
