Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,Brain_PC11,Brain_PC12,Brain_PC13,Brain_PC14,Brain_PC15,Brain_PC16,Brain_PC17,Brain_PC18,Brain_PC19,Brain_PC20,BATTERY_mean,BATTERY_std
3_(8),Trier Mental Challenge Test (TMCT),Segment_1,T8,-2.274047058109496,4.092278569302972,1.1941048117267021,-0.15508552472377715,-0.3333214567312226,0.5878361276467832,-0.3017964982774255,1.1181595734618568,0.6765599305967709,0.5755919702095305,-0.3939912048488992,0.4273211549474687,0.007955704136958558,-0.2822143181012825,-0.1233475517324949,-0.11536290409941574,-0.11412543946859349,0.5812050900443102,-0.0610925229627342,-0.003983543902381358,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_1,AF4,-2.2872454574122862,4.097408297477651,1.1852118533132354,-0.14293008941940447,-0.31678314995148743,0.6060118090288131,-0.30395246553735145,1.130369454781762,0.6747135799078785,0.5935994757428746,-0.40225963944511217,0.4280404902948427,0.003428444216557969,-0.2860478301698244,-0.11840887985132681,-0.1132554570319792,-0.10214210935503548,0.6116018201986706,-0.07335814510492715,-0.03700946747076155,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_2,AF3,3.0099401716888114,-0.2617754905166263,0.8224074317125448,0.4540860538000268,0.5473232295000372,0.012139423644880009,-0.17566007817506163,0.44027589559858055,1.060224989036245,-0.32833495942655266,0.3726688480961339,0.10853795309219345,-0.26016183097849,-0.2540436336813307,-0.07186109848730748,-0.1745151045318151,0.0980906525121447,-0.0028963853772389584,0.07140205739962939,-0.024139760150116197,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_2,T7,2.9904362644582823,-0.25055441711640436,0.811905405136458,0.4664350802264406,0.563134097940295,0.03366713020895755,-0.17231961060471707,0.4414569751342428,1.0543738700439453,-0.3425211727242911,0.3816586640210205,0.1060291198070666,-0.2597619921436417,-0.2521335767367419,-0.07218986797362503,-0.1748647095745172,0.0936661402701791,-0.017955575069495903,0.07240306039548759,-0.01621424736067727,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_2,Pz,2.9990590196438327,-0.2564268569168421,0.8168324156887354,0.4627177115042495,0.5591525446530482,0.026527056447233896,-0.1770995326304668,0.4462490669941746,1.0623996314325928,-0.3203349056700444,0.3697229202092304,0.10585803334684003,-0.26163879988751126,-0.2518109233621097,-0.06983450479332609,-0.179876844075488,0.11312702382091343,0.07424248505225561,0.05493964216331808,-0.014860020790027009,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_2,T8,2.9374403915536353,-0.23704629210751837,0.7766358619316212,0.49933427227430616,0.6401688782802898,0.08046965878624332,-0.19977228802186928,0.5269702340732135,1.0870651657235741,-0.16108789070932888,0.26537999640440224,0.1473757111156349,-0.25582205397221125,-0.28642416282326966,-0.06302731049518884,-0.1760229864220925,0.10890058398966,0.02704811865164195,0.07421889739657032,-0.05025349176834785,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_2,AF4,2.9995340908319084,-0.25709909777389894,0.8164823478236749,0.4610950604577638,0.5585606489317438,0.023302405137510186,-0.17742160757445546,0.44775892479149676,1.0616744851396842,-0.3173650258215237,0.3662470054884405,0.10983628435114585,-0.2600154799787957,-0.25537114835763897,-0.07055450947789588,-0.17672074806666718,0.10302484079748046,0.02127975836077301,0.06830778518266555,-0.0230455727506521,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_3,AF3,3.150900617982933,-0.15069449921330264,1.1123427714907779,0.33566930135251494,0.5850105056345034,0.00978541402889294,-0.1706187359626794,0.5812561764618677,1.0913785289156117,-0.38415607782036104,0.3534322224187444,0.030109700659175568,-0.44431417567035103,-0.4823984261760819,0.046933293325495985,-0.24622882912545455,0.1690942762352071,0.009467346607093287,0.07484415951233808,-0.04865742239313146,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_3,T7,2.7017820167385107,0.1262584590015897,0.8732074618480157,0.6154285042213183,0.900275771057442,0.4991048794179909,-0.05704175170588817,0.5214173401527107,0.8790465988604969,-0.9682547742203518,0.7177933491349984,-0.06427713503128496,-0.427044997915872,-0.42248191589619793,0.03322148085509689,-0.23935894455476717,-0.016090533376074145,-0.7698586971413278,0.22534769370165242,0.057247889563689106,0.0,0.0
3_(8),Trier Mental Challenge Test (TMCT),Segment_3,Pz,3.10572312380946,-0.1263436962411129,1.0871183681892769,0.36609218441765273,0.6259763052370845,0.061901640636837625,-0.16520791208229177,0.59110908191606,1.0810516674884674,-0.39797909401749204,0.3636716128465472,0.02651985247192035,-0.44615797782534117,-0.4802809606094011,0.04809422097448172,-0.2452977279378973,0.16630314671322197,-0.0013089637839172543,0.06541222942382174,-0.042526487095140765,0.0,0.0
